fid,classification,exposure_physical,exposure_social,worth_physical,worth_social,phy_vul_sub_kj_lt50,phy_vul_sub_kj_50_150,phy_vul_sub_kj_150_250,phy_vul_sub_kj_250_400,phy_vul_sub_kj_400_550,phy_vul_sub_kj_gt550,soc_vul_sub_kj_lt50,soc_vul_sub_kj_50_150,soc_vul_sub_kj_150_250,soc_vul_sub_kj_250_400,soc_vul_sub_kj_400_550,soc_vul_sub_kj_gt550,phy_vul_urb_kj_lt50,phy_vul_urb_kj_50_150,phy_vul_urb_kj_150_250,phy_vul_urb_kj_250_400,phy_vul_urb_kj_400_550,phy_vul_urb_kj_gt550,soc_vul_urb_kj_lt50,soc_vul_urb_kj_50_150,soc_vul_urb_kj_150_250,soc_vul_urb_kj_250_400,soc_vul_urb_kj_400_550,soc_vul_urb_kj_gt550
1,Residential apartment building,1,1,0.8,0.75,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
2,House,1,1,0.6,0.2,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
3,Accommodation / Tourism,1,1,0.8,0.83,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
4,Community & public services,1,0.5,0.8,0.75,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
5,Education facilities,1,0.46,0.8,0.65,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
6,Health facilities,1,1,0.8,0.5,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
7,Industrial building/ Manufacturing,1,0.42,0.8,0.25,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
8,Energy / Utility building,1,0.42,0.8,0.25,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
9,Parking Building,1,0.46,0.4,0.25,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
10,Mixed-use buildings,1,1,0.8,0.75,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
11,Offices / Business centers,1,0.42,0.8,0.75,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
12,Religious / Cultural heritage,1,0.5,1,0.88,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
13,Commercial / Retail,1,0.46,0.8,0.25,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
14,Public administration / Government,1,0.42,0.8,0.75,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
15,Paved road,1,0.5,0.6,1,0.25,0.5,1,1,1,1,1,1,1,1,1,1,0.25,0.5,1,1,1,1,1,1,1,1,1,1
16,Unpaved road,1,0.25,0.6,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,Railway,1,0.5,0.6,1,0.25,0.5,1,1,1,1,1,1,1,1,1,1,0.25,0.5,1,1,1,1,1,1,1,1,1,1
18,Recreation / Gathering areas,1,0.54,0.8,0.88,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
19,Livestock / Farm buildings,1,0.42,0.8,0.25,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
20,Productive agriculture,1,0.33,0.8,0.25,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
21,Grassland and meadows,1,0.04,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Parking area,1,0.04,0.4,0.4,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
23,Ruin,1,0.04,0.1,0.01,0,0.25,0.5,0.75,1,1,0.25,0.5,0.75,1,1,1,0,0.2,0.4,0.6,0.8,1,0.25,0.45,0.65,0.85,1,1
24,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
